Audiencia de Santa Fe,Colombia. Audiencia de Santa Fe,ORG
Colorado,Colorado River,LOC
Concha,concho Indians,MISC
Conchas,concho Indians,MISC
Conchos,concho Indians,MISC
Juan Constantino,"Constantino, Juan [Sin match LC]",PER
Pedro Domingo de Contreras,"Contreras, Pedro Domingo de [Sin match LC]",PER
Copala,"Copala (Sinaloa, Mexico) [Sin match LC]",LOC
nayaritas,cora Indians,MISC
Cristóbal de Córdoba,"Córdoba, Cristóbal de [Sin match LC]",PER
Joseph de Córdova,"Córdova, Joseph de [Sin match LC]",PER
Corodéguachi,"Corodéguachi (Sonora, Mexico) [Sin match LC]",LOC
Santa Rosa,"Corodéguachi (Sonora, Mexico) [Sin match LC]",LOC
Corrales,Corrales (Mexico) [Sin match LC],LOC
Valerio Cortés,"Cortés, Valerio [Sin match LC]",PER
Marqués de Croix,"Croix, Carlos Francisco de, Marqués de Croix, 1699-1786",PER
Marqués de Cruillas,"Cruillas, Joaquín de Montserrat, Marqués de, 1700-1771",PER
Cuba,Cuba,LOC
Cuencamé,"Cuencamé (Durango, Mexico)",LOC
Presidio del Pasaje,Presidio del Pasaje,LOC
Francisco Cuervo,"Cuervo de Valdés, Francisco [Sin match LC]",PER
Cuitzeo,Cuitzeo (Mexico),LOC
Culiacán,"Culiacán (Sinaloa, Mexico)",LOC
Enrique Dávila,"Dávila Pacheco, Enrique [Sin match LC]",PER
Enrique de Ávila,"Dávila Pacheco, Enrique [Sin match LC]",PER
Henrique Davila,"Dávila Pacheco, Enrique [Sin match LC]",PER
Henrique Dávila,"Dávila Pacheco, Enrique [Sin match LC]",PER
Frutos Delgado,"Delgado, Frutos [Sin match LC]",PER
Santiago Dias de la Madrid,"Díaz de la Madrid, Santiago [Sin match LC]",PER
Santiago Díaz de la Madrid,"Díaz de la Madrid, Santiago [Sin match LC]",PER
monsieur Ducas,Ducas [Sin match LC],PER
Duque de la Conquista,Duque de la Conquista [Sin match LC],PER
Durango,"Durango (Durango, Mexico)",LOC
Guadiana,"Guadiana (California, Mexico)",LOC
Fermín de Echeverría,"Echeverría, Fermín de [Sin match LC]",PER
Fermín de Echeverz,"Echeverría, Fermín de [Sin match LC]",PER
El Gallo,"El Gallo (Durango, Mexico) [Sin match LC]",LOC
Gallo,"El Gallo (Durango, Mexico) [Sin match LC]",LOC
El Pardo,El Pardo (Spain),LOC
